,,,,,,,,,,,,,,,,,,,,,P,R
,,,,,,,,,,,,,,,,,,,,,,
Oxford University Press,Title: Julius Caesar (Oxford School Shakespeare) ** Author: William Shakespeare ** Year: 2001 ** Publisher: Oxford University Press,Title: New Cardiff ** Author: Charles Webb ** Year: 2002 ** Publisher: Washington Square Press,Title: The Earth House ** Author: Jeanne Duprau ** Year: 1992 ** Publisher: New Chapter Press,Title: Hannibal ** Author: Thomas Harris ** Year: 1999 ** Publisher: Del Sol Press,Title: London : The Novel ** Author: EDWARD RUTHERFURD ** Year: 1998 ** Publisher: Fawcett,Title: Friday ** Author: Michel Tournier ** Year: 1997 ** Publisher: Johns Hopkins University Press,Title: Cranford (The World's Classics) ** Author: Elizabeth Gaskell ** Year: 1982 ** Publisher: Oxford University Press,Title: King Lear ** Author: William Shakespeare ** Year: 1993 ** Publisher: Washington Square Press,Title: Kitchen ** Author: Banana Yoshimoto ** Year: 1994 ** Publisher: Washington Square Press,Title: The Devil's Banker ** Author: CHRISTOPHER REICH ** Year: 2003 ** Publisher: Delacorte Press,Title: Black House ** Author: Patricia Highsmith ** Year: 1988 ** Publisher: Mysterious Press,Title: Jaws ** Author: Peter Benchley ** Year: 1991 ** Publisher: Fawcett Books,Title: The Experiment ** Author: John Darnton ** Year: 1999 ** Publisher: Penguin USA,Title: The Wind in the Willows ** Author: Kenneth Grahame ** Year: 1996 ** Publisher: St. Martin's Press,Title: Secret ** Author: Mirika Mayo Cornelius ** Year: 2002 ** Publisher: Akirim Press,Title: Persuasion (World's Classics) ** Author: Jane Austen ** Year: 1981 ** Publisher: Oxford University Press,Title: Amazonia ** Author: James Rollins ** Year: 2003 ** Publisher: Avon Books,Title: The Diaries of Adam and Eve ** Author: Mark Twain ** Year: 1998 ** Publisher: Fair Oaks Press,Title: An American Salad ** Author: Marie Watts ** Year: 2003 ** Publisher: Turnkey Press,Title: The Reader ** Author: Bernhard Schlink ** Year: 1997 ** Publisher: Random House,0.15,0.23
O'Reilly,Title: The Wasp Factory ** Author: Iain Banks ** Year: 0 ** Publisher: Abacus,Title: The First Time ** Author: Joy Fielding ** Year: 2001 ** Publisher: Pocket Star,Title: The Root of All Evil ** Author: Illiad ** Year: 2001 ** Publisher: O'Reilly,Title: Born Confused ** Author: Tanuja Desai Hidier ** Year: 2003 ** Publisher: Push,Title: The Homing ** Author: John Saul ** Year: 2002 ** Publisher: Ballantine Books,Title: The First Time ** Author: Joy Fielding ** Year: 2000 ** Publisher: Atria,Title: The Habit of Being ** Author: Flannery O'Connor ** Year: 1980 ** Publisher: Random House Inc,Title: Exim: The Mail Transfer Agent ** Author: Philip Hazel ** Year: 2001 ** Publisher: O'Reilly,Title: The Penguin Book of Twentieth Century Speeches ** Author: Brian Macarthur ** Year: 2000 ** Publisher: Penguin Books,Title: The Distance Between ** Author: Eliza Osborne ** Year: 2000 ** Publisher: Soho Press,Title: The Street Lawyer ** Author: JOHN GRISHAM ** Year: 1999 ** Publisher: Dell,Title: Belarus ** Author: Lee Hogan ** Year: 2002 ** Publisher: Roc,Title: The Syndrome ** Author: John Case ** Year: 2002 ** Publisher: Fawcett Books,Title: The Bette Davis Murder Case ** Author: George Baxt ** Year: 1994 ** Publisher: St Martins Pr,Title: Flight ** Author: Jan Burke ** Year: 2002 ** Publisher: Pocket,Title: The Poet ** Author: Michael Connelly ** Year: 1997 ** Publisher: Warner Books,Title: From the Corner of His Eye ** Author: Dean Koontz ** Year: 2001 ** Publisher: Bantam Books,Title: Breaking Clean ** Author: JUDY BLUNT ** Year: 2002 ** Publisher: Knopf,Title: Well Connected ** Author: Dianna Booher ** Year: 2000 ** Publisher: W Publishing Group,Title: A Civil Action ** Author: JONATHAN HARR ** Year: 1996 ** Publisher: Vintage,0.1,0.5
,,,,,,,,,,,,,,,,,,,,,,
Amanda Quick,Title: The First Time ** Author: Joy Fielding ** Year: 2001 ** Publisher: Pocket Star,Title: The Wasp Factory ** Author: Iain Banks ** Year: 0 ** Publisher: Abacus,Title: The First Time ** Author: Joy Fielding ** Year: 2000 ** Publisher: Atria,Title: The Distance Between ** Author: Eliza Osborne ** Year: 2000 ** Publisher: Soho Press,Title: Well Connected ** Author: Dianna Booher ** Year: 2000 ** Publisher: W Publishing Group,Title: Born Confused ** Author: Tanuja Desai Hidier ** Year: 2003 ** Publisher: Push,Title: Breaking Clean ** Author: JUDY BLUNT ** Year: 2002 ** Publisher: Knopf,Title: The Syndrome ** Author: John Case ** Year: 2002 ** Publisher: Fawcett Books,Title: Flight ** Author: Jan Burke ** Year: 2002 ** Publisher: Pocket,Title: The 37th Hour ** Author: JODI COMPTON ** Year: 2003 ** Publisher: Delacorte Press,Title: The Next Accident ** Author: LISA GARDNER ** Year: 2002 ** Publisher: Bantam,Title: Hannibal ** Author: Thomas Harris ** Year: 2000 ** Publisher: Dell Publishing Company,Title: Ellen Foster ** Author: Kaye Gibbons ** Year: 1997 ** Publisher: Vintage Books,Title: Charlotte Gray ** Author: Sebastian Faulks ** Year: 2000 ** Publisher: Vintage Books USA,Title: Dead Run ** Author: Erica Spindler ** Year: 2003 ** Publisher: Mira,Title: Blink ** Author: Ted Dekker ** Year: 2003 ** Publisher: WestBow Press,Title: Through Alien Eyes ** Author: Amy Thomson ** Year: 2000 ** Publisher: Ace Books,Title: Joy ** Author: Victoria Christopher Murray ** Year: 2001 ** Publisher: Walk Worthy Press,Title: The Homing ** Author: John Saul ** Year: 2002 ** Publisher: Ballantine Books,Title: The Countess ** Author: Catherine Coulter ** Year: 1999 ** Publisher: Signet Book,0,0
Lewis Carroll,Title: The Grapes of Wrath ** Author: John Steinbeck ** Year: 1976 ** Publisher: Penguin USA,Title: Nineteen Eighty-Four ** Author: George Orwell ** Year: 1983 ** Publisher: New Amer Library (Mm),Title: A Connecticut Yankee in King Arthur's Court ** Author: Mark Twain ** Year: 1997 ** Publisher: Tor Books,Title: An Instance of the Fingerpost ** Author: Iain Pears ** Year: 1999 ** Publisher: Berkley Publishing Group,Title: Ham on Rye ** Author: Charles Bukowski ** Year: 1982 ** Publisher: Ecco,Title: Timeline ** Author: MICHAEL CRICHTON ** Year: 2000 ** Publisher: Ballantine Books,Title: The Orchid Thief ** Author: SUSAN ORLEAN ** Year: 1998 ** Publisher: Random House,Title: Yeats Is Dead! A Mystery by 15 Irish Writers ** Author: Roddy Doyle ** Year: 2001 ** Publisher: Alfred A. Knopf,Title: Don Quixote of LA Mancha ** Author: Miguel de Cervantes Saavedra ** Year: 1990 ** Publisher: Signet Classics,Title: Charlotte Gray ** Author: Sebastian Faulks ** Year: 2000 ** Publisher: Vintage Books USA,Title: The Poet ** Author: Michael Connelly ** Year: 1997 ** Publisher: Warner Books,Title: King Lear ** Author: William Shakespeare ** Year: 1999 ** Publisher: Pocket Books,Title: The Scarlet Letter ** Author: NATHANIEL HAWTHORNE ** Year: 1965 ** Publisher: Bantam,Title: Haroun and the Sea of Stories ** Author: Salman Rushdie ** Year: 1991 ** Publisher: Penguin Putnam~trade,Title: Invisible Man ** Author: Ralph Ellison ** Year: 1995 ** Publisher: Vintage Books USA,Title: Harlequin Valentine ** Author: Neil Gaiman ** Year: 2002 ** Publisher: Dark Horse Comics,Title: Picture of Dorian Gray ** Author: Oscar Wilde ** Year: 0 ** Publisher: Penguin Putnam~mass,Title: The Habit of Being ** Author: Flannery O'Connor ** Year: 1980 ** Publisher: Random House Inc,Title: The Picture of Dorian Gray (Penguin Classic) ** Author: Oscar Wilde ** Year: 1985 ** Publisher: Penguin Books,Title: From the Corner of His Eye ** Author: Dean Koontz ** Year: 2001 ** Publisher: Bantam Books,0,0
John Saul,Title: The Wasp Factory ** Author: Iain Banks ** Year: 0 ** Publisher: Abacus,Title: Joshua In the Holy Land ** Author: Joseph Girzone ** Year: 1993 ** Publisher: Simon Schuster Trade,Title: The Testament ** Author: John Grisham ** Year: 1999 ** Publisher: Dell,Title: The Homing ** Author: John Saul ** Year: 2002 ** Publisher: Ballantine Books,Title: The Jewish War (Penguin Classics) ** Author: Flavius Josephus ** Year: 1984 ** Publisher: Penguin Books,Title: Hannibal ** Author: Thomas Harris ** Year: 2000 ** Publisher: Dell Publishing Company,Title: The Prophecies ** Author: Nostradamus ** Year: 0 ** Publisher: Bookmart,Title: The Testament ** Author: John Grisham ** Year: 1999 ** Publisher: Doubleday Books,Title: The Future Scrolls ** Author: Fern Michaels ** Year: 2003 ** Publisher: Zebra Books,Title: The Redemption of Althalus ** Author: David Eddings ** Year: 2000 ** Publisher: Del Rey,Title: The Grapes of Wrath ** Author: John Steinbeck ** Year: 1976 ** Publisher: Penguin USA,Title: The Fourth Wall ** Author: Beth Saulnier ** Year: 2001 ** Publisher: Warner Books,Title: Why I Follow Jesus ** Author: Adrian Plass ** Year: 2000 ** Publisher: Zondervan Publishing Company,Title: The Patient ** Author: Michael Palmer ** Year: 2001 ** Publisher: Bantam Books,Title: Hannibal ** Author: Thomas Harris ** Year: 1999 ** Publisher: Del Sol Press,Title: The BIBLE CODE ** Author: Michael Drosnin ** Year: 1998 ** Publisher: Touchstone,Title: Ellen Foster ** Author: Kaye Gibbons ** Year: 1997 ** Publisher: Vintage Books,Title: Diary of a Language Teacher ** Author: Joachim Appel ** Year: 0 ** Publisher: Heinemann,Title: The Patient ** Author: Michael Palmer ** Year: 2000 ** Publisher: Bantam Books,Title: The Gospel of Judas: A Novel ** Author: Simon Mawer ** Year: 2002 ** Publisher: Back Bay Books,0.05,0.3
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
What books did O'Reilly publish,Title: Was It Something I Said? ** Author: Valerie Block ** Year: 1998 ** Publisher: Soho Press,Title: From the Corner of His Eye ** Author: Dean Koontz ** Year: 2001 ** Publisher: Bantam Books,Title: The Reader ** Author: Bernhard Schlink ** Year: 1999 ** Publisher: Vintage Books USA,Title: Flight ** Author: Jan Burke ** Year: 2002 ** Publisher: Pocket,Title: The Homing ** Author: John Saul ** Year: 2002 ** Publisher: Ballantine Books,Title: The Reader ** Author: Bernhard Schlink ** Year: 1997 ** Publisher: Random House,Title: The Habit of Being ** Author: Flannery O'Connor ** Year: 1980 ** Publisher: Random House Inc,Title: Manhattan Hunt Club ** Author: JOHN SAUL ** Year: 2002 ** Publisher: Ballantine Books,Title: The Callahan Touch ** Author: Spider Robinson ** Year: 1996 ** Publisher: Ace Books,Title: Sarah Conley ** Author: Ellen Gilchrist ** Year: 1998 ** Publisher: Back Bay Books,Title: The Journey From Here ** Author: Bill Bradley ** Year: 2000 ** Publisher: Artisan Publishers,Title: Ellen Foster ** Author: Kaye Gibbons ** Year: 1997 ** Publisher: Vintage Books,Title: Hannibal ** Author: Thomas Harris ** Year: 2000 ** Publisher: Dell Publishing Company,Title: The Mighty ** Author: Rodman Philbrick ** Year: 1998 ** Publisher: Scholastic,Title: Hannibal ** Author: Thomas Harris ** Year: 1999 ** Publisher: Del Sol Press,Title: Perdido Street Station ** Author: China Mieville ** Year: 2001 ** Publisher: Del Rey Books,Title: The Syndrome ** Author: John Case ** Year: 2002 ** Publisher: Fawcett Books,Title: Interview with the Vampire ** Author: Anne Rice ** Year: 1993 ** Publisher: Ballantine Books,Title: An incidental memoir ** Author: Robin Dalton ** Year: 1998 ** Publisher: Penguin Putnam,Title: The Green ** Author: Troon McAllister ** Year: 2000 ** Publisher: Main Street Books,0,0
who wrote The Mummies of Urumchi,Title: The Future Scrolls ** Author: Fern Michaels ** Year: 2003 ** Publisher: Zebra Books,Title: Diary of a Language Teacher ** Author: Joachim Appel ** Year: 0 ** Publisher: Heinemann,Title: The Syndrome ** Author: John Case ** Year: 2002 ** Publisher: Fawcett Books,Title: Perdido Street Station ** Author: China Mieville ** Year: 2001 ** Publisher: Del Rey Books,Title: Was It Something I Said? ** Author: Valerie Block ** Year: 1998 ** Publisher: Soho Press,Title: Interview with the Vampire ** Author: Anne Rice ** Year: 1993 ** Publisher: Ballantine Books,Title: The Mummies of Urumchi ** Author: E. J. W. Barber ** Year: 1999 ** Publisher: W. W. Norton &amp; Company,Title: El Codigo Da Vinci / The Da Vinci Code ** Author: Dan Brown ** Year: 2003 ** Publisher: Ediciones Urano,Title: The Middle Stories ** Author: Sheila Heti ** Year: 2004 ** Publisher: House of Anansi Press,Title: The Kitchen Boy ** Author: Robert Alexander ** Year: 2003 ** Publisher: Viking Books,Title: Hannibal ** Author: Thomas Harris ** Year: 2000 ** Publisher: Dell Publishing Company,Title: A polar bear called Pingo ** Author: Ilona Koidahl ** Year: 1974 ** Publisher: Childrens Press,Title: The Distance Between ** Author: Eliza Osborne ** Year: 2000 ** Publisher: Soho Press,Title: The Journey From Here ** Author: Bill Bradley ** Year: 2000 ** Publisher: Artisan Publishers,Title: Why Girls Are Weird : A Novel ** Author: Pamela Ribon ** Year: 2003 ** Publisher: Downtown Press,Title: The Reader ** Author: Bernhard Schlink ** Year: 1997 ** Publisher: Random House,Title: The 37th Hour ** Author: JODI COMPTON ** Year: 2003 ** Publisher: Delacorte Press,Title: Why I Follow Jesus ** Author: Adrian Plass ** Year: 2000 ** Publisher: Zondervan Publishing Company,Title: Secret ** Author: Mirika Mayo Cornelius ** Year: 2002 ** Publisher: Akirim Press,Title: The Reader ** Author: Bernhard Schlink ** Year: 1999 ** Publisher: Vintage Books USA,1,1
